movieId,title
1|Toy Story
2|Jumanji
3|Grumpier Old Men
4|Waiting to Exhale
5|Father of the Bride Part II
6|Heat
7|Sabrina
8|Tom and Huck
9|Sudden Death
10|GoldenEye
11|American President, The
12|Dracula: Dead and Loving It
13|Balto
14|Nixon
15|Cutthroat Island
16|Casino
17|Sense and Sensibility
18|Four Rooms
19|Ace Ventura: When Nature Calls
20|Money Train
21|Get Shorty
22|Copycat
23|Assassins
24|Powder
25|Leaving Las Vegas
26|Othello
27|Now and Then
28|Persuasion
29|City of Lost Children, The (Cité des enfants perdus, La)
30|Shanghai Triad (Yao a yao yao dao waipo qiao)
31|Dangerous Minds
32|Twelve Monkeys (a.k.a. 12 Monkeys)
33|Wings of Courage
34|Babe
35|Carrington
36|Dead Man Walking
37|Clueless
38|Cry, the Beloved Country
39|Richard III
40|Dead Presidents
41|Restoration
42|Mortal Kombat
43|To Die For
44|How to Make an American Quilt
45|Seven (a.k.a. Se7en)
46|Pocahontas
47|When Night Is Falling
48|Usual Suspects, The
49|Mighty Aphrodite
50|Lamerica
51|Big Green, The
52|Georgia
53|Home for the Holidays
54|Postman, The (Postino, Il)
55|Confessional, The (Confessionnal, Le)
56|Indian in the Cupboard, The
57|Eye for an Eye
58|Mr. Holland's Opus
59|Don't Be a Menace to South Central While Drinking Your Juice in the Hood
60|Two if by Sea
61|Bio-Dome
62|Lawnmower Man 2: Beyond Cyberspace
63|French Twist (Gazon maudit)
64|Friday
65|From Dusk Till Dawn
66|Fair Game
67|Kicking and Screaming
68|Misérables, Les
69|Bed of Roses
70|Big Bully
71|Screamers
72|Crossing Guard, The
73|Juror, The
74|White Balloon, The (Badkonake sefid)
75|Things to Do in Denver When You're Dead
76|Antonia's Line (Antonia)
77|Once Upon a Time... When We Were Colored
78|Last Summer in the Hamptons
79|Angels and Insects
80|White Squall
81|Dunston Checks In
82|Black Sheep
83|Nick of Time
84|Journey of August King, The
85|Mary Reilly
86|Vampire in Brooklyn
87|Beautiful Girls
88|Broken Arrow
89|In the Bleak Midwinter
90|Hate (Haine, La)
91|City Hall
92|Bottle Rocket
93|Mr. Wrong
94|Unforgettable
95|Happy Gilmore
96|Bridges of Madison County, The
97|Muppet Treasure Island
98|Catwalk
99|Braveheart
100|Taxi Driver
101|Rumble in the Bronx (Hont faan kui)
102|Before and After
103|Margaret's Museum
104|Happiness Is in the Field (Bonheur est dans le pré, Le)
105|Anne Frank Remembered
106|Young Poisoner's Handbook, The
107|If Lucy Fell
108|Boys of St. Vincent, The
109|Boomerang
110|Chungking Express (Chung Hing sam lam)
111|Star Maker, The (Uomo delle stelle, L')
112|Flirting With Disaster
113|NeverEnding Story III, The
114|Pie in the Sky
115|Frankie Starlight
116|Jade
117|Down Periscope
118|Man of the Year
119|Neon Bible, The
120|Up Close and Personal
121|Birdcage, The
122|Brothers McMullen, The
123|Bad Boys
124|Amazing Panda Adventure, The
125|Basketball Diaries, The
126|Amateur
127|Apollo 13
128|Rob Roy
129|Addiction, The
130|Batman Forever
131|Beauty of the Day (Belle de jour)
132|Beyond Rangoon
133|Blue in the Face
134|Canadian Bacon
135|Casper
136|Clockers
137|Congo
138|Crimson Tide
139|Crumb
140|Desperado
141|Devil in a Blue Dress
142|Die Hard: With a Vengeance
143|Doom Generation, The
144|First Knight
145|Free Willy 2: The Adventure Home
146|Hackers
147|Jeffrey
148|Johnny Mnemonic
149|Judge Dredd
150|Jury Duty
151|Kids
152|Living in Oblivion
153|Lord of Illusions
154|Love & Human Remains
155|Mad Love
156|Mallrats
157|Mighty Morphin Power Rangers: The Movie
158|Moonlight and Valentino
159|Mute Witness
160|Nadja
161|Net, The
162|Nine Months
163|Party Girl
164|Prophecy, The
165|Safe
166|Scarlet Letter, The
167|Showgirls
168|Smoke
169|Something to Talk About
170|Species
171|Strange Days
172|Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)
173|Tie That Binds, The
174|Three Wishes
175|Total Eclipse
