movieId,year
1,1995
2,1995
3,1995
4,1995
5,1995
6,1995
7,1995
8,1995
9,1995
10,1995
11,1995
12,1995
13,1995
14,1995
15,1995
16,1995
17,1995
18,1995
19,1995
20,1995
21,1995
22,1995
23,1995
24,1995
25,1995
26,1995
27,1995
28,1995
29,1995
30,1995
31,1995
32,1995
33,1995
34,1995
35,1995
36,1995
37,1995
38,1995
39,1995
40,1995
41,1995
42,1995
43,1995
44,1995
45,1995
46,1995
47,1995
48,1995
49,1995
50,1994
51,1995
52,1995
53,1995
54,1994
55,1995
56,1995
57,1996
58,1995
59,1996
60,1996
61,1996
62,1996
63,1995
64,1995
65,1996
66,1995
67,1995
68,1995
69,1996
70,1996
71,1995
72,1995
73,1996
74,1995
75,1995
76,1995
77,1995
78,1995
79,1995
80,1996
81,1996
82,1996
83,1995
84,1995
85,1996
86,1995
87,1996
88,1996
89,1995
90,1995
91,1996
92,1996
93,1996
94,1996
95,1996
96,1995
97,1996
98,1996
99,1995
100,1976
101,1995
102,1996
103,1995
104,1995
105,1995
106,1995
107,1996
108,1992
109,1992
110,1994
111,1995
112,1996
113,1994
114,1996
115,1995
116,1995
117,1996
118,1995
119,1995
120,1996
121,1996
122,1995
123,1995
124,1995
125,1995
126,1994
127,1995
128,1995
129,1995
130,1995
131,1967
132,1995
133,1995
134,1995
135,1995
136,1995
137,1995
138,1995
139,1994
140,1995
141,1995
142,1995
143,1995
144,1995
145,1995
146,1995
147,1995
148,1995
149,1995
150,1995
151,1995
152,1995
153,1995
154,1993
155,1995
156,1995
157,1995
158,1995
159,1994
160,1994
161,1995
162,1995
163,1995
164,1995
165,1995
166,1995
167,1995
168,1995
169,1995
170,1995
171,1995
172,1964
173,1995
174,1995
175,1995
176,1995
177,1995
178,1995
179,1995
180,1995
181,1995
182,1995
183,1995
184,1994
185,1995
186,1994
187,1994
188,1995
189,1995
190,1995
191,1995
192,1995
193,1995
194,1995
195,1994
196,1995
197,1994
198,1995
199,1994
200,1995
201,1994
202,1995
203,1994
204,1994
205,1994
206,1994
207,1994
208,1995
209,1995
210,1995
211,1995
212,1995
213,1995
214,1994
215,1995
216,1994
217,1994
218,1994
219,1994
220,1994
221,1995
222,1995
223,1994
224,1994
225,1995
226,1995
227,1994
228,1995
229,1995
230,1995
231,1977
232,1994
233,1995
234,1994
235,1992
236,1994
237,1995
238,1994
239,1993
240,1994
241,1995
242,1994
243,1994
244,1995
245,1994
246,1994
247,1994
248,1995
249,1995
250,1995
251,1994
252,1994
253,1995
254,1994
255,1994
256,1994
257,1996
258,1995
259,1994
260,1995
261,1994
262,1992
263,1994
264,1994
265,1994
266,1994
267,1995
268,1995
269,1994
270,1994
271,1993
272,1994
273,1994
274,1995
275,1994
276,1994
277,1994
278,1994
279,1994
280,1994
281,1994
282,1993
283,1993
284,1995
285,1994
286,1995
287,1994
288,1995
289,1995
290,1994
291,1995
292,1994
293,1995
294,1995
295,1994
296,1995
297,1995
298,1993
299,1995
300,1995
301,1994
302,1994
303,1994
304,1995
305,1994
306,1994
307,1993
308,1992
309,1994
310,1994
311,1994
312,1994
313,1994
314,1994
315,1994
316,1994
317,1994
318,1994
319,1995
320,1994
321,1994
322,1994
323,1993
324,1994
325,1993
326,1994
327,1994
328,1994
329,1994
330,1994
331,1994
332,1994
333,1992
334,1994
335,1994
336,1994
337,1994
338,1994
339,1994
340,1994
341,1994
342,1994
343,1994
344,1995
345,1994
346,1994
347,1994
348,1995
349,1994
350,1965
351,1994
352,1993
353,1994
354,1995
355,1994
356,1994
357,1995
358,1994
359,1994
360,1993
361,1993
362,1994
363,1994
364,1993
365,1994
366,1994
367,1993
368,1993
369,1994
370,1994
371,1994
372,1994
373,1994
374,1994
375,1993
376,1993
377,1993
378,1994
379,1993
380,1993
381,1994
382,1994
383,1993
384,1993
385,1994
386,1994
387,1994
388,1993
389,1993
390,1993
391,1993
392,1994
393,1993
394,1993
395,1993
396,1994
397,1993
398,1994
399,1994
400,1993
401,1994
402,1993
403,1993
404,1993
405,1994
406,1993
407,1993
408,1994
409,1994
410,1994
411,1993
412,1993
413,1993
414,1993
415,1995
416,1995
417,1993
418,1994
419,1994
420,1994
421,1994
422,1993
423,1993
424,1994
425,1993
426,1993
427,1993
428,1993
429,1994
430,1993
431,1993
432,1993
433,1994
434,1993
435,1993
436,1993
437,1993
438,1993
439,1993
440,1996
441,1976
442,1994
443,1993
444,1993
445,1993
446,1993
447,1993
448,1994
449,1994
450,1994
451,1992
452,1993
453,1993
454,1993
455,1993
456,1993
457,1994
458,1994
459,1994
460,1993
461,1994
462,1993
463,1994
464,1993
465,1993
466,1993
467,1992
468,1993
469,1993
470,1993
471,1992
472,1993
473,1994
474,1993
475,1993
476,1994
477,1994
478,1993
479,1993
480,1994
481,1994
482,1993
483,1993
484,1993
485,1982
486,1993
487,1993
488,1993
489,1985
490,1993
491,1994
492,1994
493,1993
494,1994
495,1993
496,1993
497,1993
498,1994
499,1993
500,1993
501,1994
502,1994
503,1995
504,1993
505,1993
506,1994
507,1993
508,1993
509,1994
510,1993
511,1994
512,1992
513,1994
514,1994
515,1994
516,1994
517,1995
518,1994
519,1995
520,1990
521,1990
522,1992
523,1991
524,1990
525,1989
526,1991
527,1937
528,1991
529,1940
530,1990
531,1969
532,1994
533,1994
534,1994
535,1995
536,1996
537,1995
538,1996
539,1996
540,1981
541,1996
542,1996
543,1996
544,1994
545,1973
546,1970
547,1995
548,1995
549,1996
550,1993
551,1996
552,1995
553,1996
554,1996
555,1996
556,1995
557,1995
558,1995
559,1996
560,1996
561,1995
562,1996
563,1996
564,1996
565,1996
566,1995
